carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
UA,256,15,0,1,0
AA,612,1,0,1,0
UA,168,34,0,1,0
AA,338,7,0,1,0
AA,458,7,0,1,0
UA,433,2,0,1,0
AA,428,22,0,1,0
UA,448,11,0,1,0
AA,446,5,0,1,0
UA,658,3,0,1,0
AA,318,20,0,1,0
UA,313,16,0,1,0
AA,568,6,0,1,0
UA,187,33,0,1,1
AA,206,25,0,1,0
AA,198,64,0,1,0
AA,198,28,0,1,1
AA,168,33,0,1,1
AA,438,10,0,1,0
AA,596,5,0,1,0
UA,313,24,0,1,0
UA,302,7,0,1,0
UA,258,30,0,1,0
AA,409,26,0,1,0
AA,260,15,0,1,1
UA,238,31,0,1,1
AA,208,35,0,1,0
AA,198,14,0,1,1
AA,261,4,0,1,1
UA,448,10,0,1,0
AA,569,1,0,1,0
AA,301,32,0,1,0
AA,385,11,0,1,0
AA,168,32,0,1,1
AA,658,3,0,1,0
AA,428,26,0,1,0
AA,1452,2,1,0,0
AA,658,0,0,1,0
AA,313,24,0,1,0
UA,260,121,0,1,1
AA,644,2,1,1,0
AA,300,12,0,1,0
AA,305,17,0,1,0
UA,658,1,0,1,0
AA,198,2,0,1,0
UA,658,1,0,1,0
AA,272,104,0,1,1
AA,392,3,0,1,0
AA,237,28,0,1,0
AA,658,1,0,1,0
AA,318,22,0,1,0
AA,237,28,0,1,0
AA,280,41,0,1,0
UA,658,3,0,1,0
AA,645,2,1,1,0
UA,658,3,0,1,0
UA,448,9,0,1,0
AA,206,19,0,1,0
UA,239,23,0,1,1
UA,332,5,0,1,0
AA,318,28,0,1,0
AA,218,32,0,1,0
UA,178,7,0,1,1
AA,294,11,0,1,1
AA,458,7,0,1,0
AA,658,5,0,1,0
AA,458,12,0,1,0
AA,206,15,0,1,0
UA,247,15,0,1,1
AA,458,9,0,1,0
AA,294,13,0,1,0
AA,208,42,0,1,1
AA,438,9,0,1,0
UA,168,7,0,1,1
AA,208,28,0,1,0
AA,208,67,0,1,0
AA,300,11,0,1,0
AA,393,5,0,1,0
UA,390,7,0,1,0
AA,208,23,0,1,0
AA,658,0,0,1,0
AA,658,4,0,1,0
AA,458,13,0,1,0
UA,294,9,0,1,1
UA,359,10,0,1,1
AA,294,1,0,1,0
UA,332,12,0,1,0
AA,638,2,0,1,0
UA,625,4,0,1,0
AA,246,19,0,1,0
UA,332,5,0,1,0
UA,438,8,0,1,0
AA,658,1,0,1,0
AA,237,14,0,1,0
UA,176,41,0,1,1
AA,168,41,0,1,1
AA,395,8,0,1,0
AA,434,5,0,1,0
AA,624,1,0,1,0
AA,248,17,0,1,1
AA,268,24,0,1,1
AA,458,5,0,1,0
UA,259,17,0,1,0
AA,438,13,0,1,0
AA,168,32,0,1,0
AA,448,13,0,1,0
AA,218,107,0,1,0
UA,293,9,0,1,0
AA,448,11,0,1,0
UA,632,1,0,1,0
AA,250,29,0,1,0
AA,266,7,0,1,0
AA,398,54,0,1,0
UA,256,14,0,1,0
AA,208,15,0,1,0
UA,438,6,0,1,0
UA,332,1,0,1,1
UA,246,32,0,1,0
AA,658,1,0,1,0
AA,283,38,0,1,1
UA,438,9,0,1,0
AA,395,12,0,1,0
AA,208,37,0,1,0
UA,627,1,0,1,0
AA,458,3,0,1,0
AA,622,3,0,0,0
AA,448,13,0,1,0
AA,1502,1,1,0,0
AA,206,44,0,1,1
AA,448,4,0,1,0
UA,354,8,0,1,0
AA,448,11,0,1,0
UA,313,15,0,1,0
UA,244,29,0,1,1
AA,168,22,0,1,1
AA,238,17,0,1,1
AA,336,1,0,1,0
UA,658,5,0,1,0
AA,206,27,0,1,0
AA,208,12,0,1,0
AA,388,32,0,1,0
AA,318,38,0,1,0
AA,178,7,0,1,1
AA,332,4,0,1,0
AA,208,28,0,1,0
AA,165,21,0,1,0
UA,313,28,0,1,0
UA,168,26,0,1,0
AA,206,26,0,1,0
UA,207,39,0,1,1
UA,390,7,0,1,0
UA,658,0,0,1,0
AA,208,22,0,1,0
AA,448,13,0,1,0
AA,579,4,0,1,0
AA,378,17,0,1,0
UA,448,10,0,1,0
AA,251,79,0,1,1
AA,168,54,0,1,0
AA,658,5,0,1,0
AA,268,16,0,1,0
AA,206,21,0,1,0
UA,188,23,0,1,1
AA,257,10,0,1,1
AA,168,14,0,1,1
AA,271,55,0,1,0
UA,337,68,0,1,0
AA,385,9,0,1,0
AA,398,4,0,1,0
AA,335,9,0,1,0
AA,453,1,0,1,0
UA,206,47,0,1,0
AA,611,3,0,0,0
AA,198,20,0,1,1
AA,237,37,0,1,0
AA,332,0,0,1,0
AA,218,10,0,1,0
AA,439,1,0,1,1
AA,201,8,0,1,0
AA,451,1,0,1,0
AA,648,4,0,1,0
UA,259,23,0,1,1
AA,266,9,0,1,0
UA,332,3,0,1,0
AA,208,80,0,1,0
UA,252,17,0,1,1
AA,438,8,0,1,0
AA,178,49,0,1,0
UA,624,1,1,1,0
AA,208,31,0,1,1
AA,1060,1,1,1,0
AA,168,8,0,1,1
UA,658,3,0,1,0
UA,658,6,0,1,0
AA,568,5,0,1,0
AA,617,2,0,0,0
AA,298,17,0,1,0
UA,347,19,0,1,0
AA,237,15,0,1,0
AA,168,16,0,1,0
AA,168,27,0,1,1
UA,298,10,0,1,1
UA,386,8,0,1,1
UA,188,39,0,1,1
AA,428,0,0,1,0
UA,658,3,0,1,0
AA,458,7,0,1,0
UA,387,1,0,1,0
AA,237,15,0,1,0
AA,458,8,0,1,0
AA,428,20,0,1,0
AA,208,19,0,1,0
UA,249,27,0,1,1
UA,246,19,0,1,0
UA,438,10,0,1,0
AA,208,14,0,1,0
AA,188,21,0,1,1
UA,438,2,0,1,0
AA,168,46,0,1,0
AA,255,32,0,1,0
AA,437,1,0,1,0
AA,318,17,0,1,0
UA,438,13,0,1,0
AA,618,1,1,1,0
AA,568,4,0,1,0
UA,257,22,0,1,1
AA,438,7,0,1,0
AA,443,11,0,1,0
AA,458,12,0,1,0
AA,165,17,0,1,1
AA,168,24,0,1,1
AA,248,19,0,1,0
AA,395,12,0,1,0
AA,237,20,0,1,0
UA,395,9,0,1,1
UA,256,15,0,1,1
AA,261,76,0,1,0
AA,569,2,0,1,0
AA,385,12,0,1,0
AA,428,19,0,1,0
UA,178,30,0,1,1
UA,569,4,0,1,0
AA,568,6,0,1,0
UA,347,14,0,1,0
AA,208,33,0,1,0
AA,395,12,0,1,0
AA,198,10,0,1,0
UA,314,18,0,1,0
AA,168,15,0,1,0
UA,317,56,0,1,0
UA,172,25,0,1,1
AA,168,22,0,1,0
AA,198,34,0,1,1
UA,186,28,0,1,1
AA,448,8,0,1,0
AA,658,3,0,1,0
AA,568,4,0,1,0
AA,265,18,0,1,0
UA,643,4,0,1,0
AA,168,23,0,1,1
AA,237,14,0,1,0
AA,168,19,0,1,0
AA,237,21,0,1,0
AA,168,47,0,1,0
AA,638,1,0,1,0
AA,448,10,0,1,0
UA,293,15,0,1,0
AA,458,13,0,1,0
AA,458,1,0,1,0
AA,291,19,0,1,1
AA,237,35,0,1,0
UA,658,5,0,1,0
AA,648,3,0,1,0
AA,188,24,0,1,0
UA,347,15,0,1,0
AA,334,9,0,1,0
AA,246,17,0,1,0
AA,408,19,0,1,0
AA,255,16,0,1,1
AA,658,1,0,1,0
AA,438,10,0,1,0
AA,448,7,0,1,0
UA,395,7,0,1,0
UA,168,28,0,1,0
UA,256,21,0,1,0
AA,458,7,0,1,0
AA,458,9,0,1,0
AA,448,8,0,1,0
UA,387,6,0,1,0
AA,168,26,0,1,0
AA,218,16,0,1,0
AA,332,8,0,1,0
AA,458,5,0,1,0
AA,408,16,0,1,0
UA,436,13,0,1,0
UA,438,8,0,1,0
AA,198,10,0,1,0
AA,658,1,0,1,0
UA,187,23,0,1,1
UA,448,8,0,1,0
AA,438,13,0,1,0
AA,168,85,0,1,0
AA,658,1,0,1,0
AA,206,28,0,1,0
UA,628,1,0,1,1
AA,458,7,0,1,0
AA,454,1,0,1,0
AA,178,7,0,1,1
UA,168,35,0,1,0
AA,338,64,0,1,0
AA,395,13,0,1,0
AA,458,11,0,1,0
AA,237,21,0,1,0
AA,311,19,0,1,1
AA,168,34,0,1,0
AA,206,28,0,1,1
UA,648,3,0,1,0
AA,237,39,0,1,0
UA,177,10,0,1,0
UA,172,32,0,1,1
UA,244,50,0,1,1
AA,436,31,0,1,0
AA,638,4,0,1,0
AA,591,5,0,1,0
AA,206,45,0,1,1
AA,428,2,0,1,0
AA,268,63,0,1,0
AA,385,7,0,1,0
UA,439,1,0,1,0
AA,168,31,0,1,1
AA,443,13,0,1,0
AA,198,14,0,1,1
UA,658,1,0,1,0
AA,300,9,0,1,0
AA,208,20,0,1,0
UA,168,14,0,1,0
UA,433,1,0,1,0
AA,458,7,0,1,0
AA,233,22,0,1,0
UA,658,4,0,1,0
AA,178,117,0,1,1
AA,237,38,0,1,0
AA,198,8,0,1,0
AA,612,6,0,0,0
AA,206,16,0,1,0
AA,438,7,0,1,0
AA,206,26,0,1,0
AA,648,6,0,0,0
UA,247,14,0,1,0
AA,168,12,0,1,0
UA,632,3,0,1,0
AA,438,12,0,1,0
AA,290,6,0,1,1
AA,451,4,0,1,0
UA,390,13,0,1,0
UA,237,25,0,1,0
AA,263,7,0,1,0
AA,378,20,0,1,0
UA,333,10,0,1,1
UA,198,66,0,1,0
AA,448,7,0,1,0
AA,428,7,0,1,0
AA,178,8,0,1,0
AA,237,19,0,1,0
AA,160,28,0,1,1
UA,176,42,0,1,1
AA,246,17,0,1,1
AA,188,16,0,1,1
AA,237,14,0,1,0
UA,390,9,0,1,0
AA,168,22,0,1,1
AA,658,5,0,1,0
AA,208,15,0,1,0
UA,446,4,0,1,0
AA,438,8,0,1,0
UA,347,18,0,1,0
AA,565,3,0,1,0
AA,1452,1,1,0,0
AA,612,2,0,0,0
AA,313,9,0,1,0
AA,332,13,0,1,0
UA,385,6,0,1,0
AA,203,50,0,1,1
UA,168,33,0,1,1
UA,289,23,0,1,0
AA,438,10,0,1,0
AA,385,7,0,1,0
UA,638,5,0,1,0
AA,218,25,0,1,0
AA,260,28,0,1,1
AA,200,2,0,1,0
AA,198,53,0,1,0
AA,168,31,0,1,1
AA,237,30,0,1,0
AA,303,8,0,1,0
AA,208,17,0,1,1
AA,265,25,0,1,1
AA,658,1,0,1,0
AA,237,15,0,1,0
AA,237,22,0,1,0
AA,237,21,0,1,0
AA,206,45,0,1,0
AA,312,2,0,1,0
AA,567,2,0,1,0
AA,265,5,0,1,1
AA,168,24,0,1,1
UA,569,1,0,1,0
AA,255,38,0,1,0
AA,569,1,0,1,0
AA,458,8,0,1,0
AA,360,7,0,1,0
AA,266,11,0,1,0
AA,638,5,0,1,0
UA,237,14,0,1,1
AA,168,44,0,1,1
AA,237,15,0,1,0
AA,298,15,0,1,0
AA,290,1,0,1,1
AA,178,64,0,1,1
AA,1028,2,1,1,0
AA,237,28,0,1,1
AA,240,134,0,1,0
AA,378,5,0,1,1
AA,569,2,0,1,0
AA,448,12,0,1,0
AA,278,34,0,1,1
AA,285,14,0,1,0
AA,384,6,0,1,0
AA,448,10,0,1,0
AA,638,5,0,1,0
AA,458,12,0,1,0
AA,658,1,0,1,1
AA,202,29,0,1,1
UA,632,3,0,1,0
AA,237,14,0,1,0
UA,237,44,0,1,0
AA,395,7,0,1,0
AA,237,34,0,1,0
AA,198,14,0,1,0
AA,569,1,0,1,0
AA,386,5,0,1,0
UA,658,2,0,1,0
UA,238,31,0,1,1
UA,648,4,0,1,0
UA,390,13,0,1,0
UA,302,6,0,1,0
AA,458,8,0,1,0
AA,252,22,0,1,1
AA,333,2,0,1,0
UA,257,16,0,1,0
AA,246,19,0,1,0
AA,198,7,0,1,0
AA,198,73,0,1,1
AA,250,39,0,1,0
AA,398,8,0,1,0
AA,198,38,0,1,0
UA,292,13,0,1,1
UA,275,97,0,1,0
AA,448,12,0,1,0
UA,238,31,0,1,1
AA,250,17,0,1,1
UA,247,17,0,1,1
AA,198,3,0,1,0
UA,438,11,0,1,0
AA,256,16,0,1,1
UA,260,8,0,1,0
AA,572,6,0,1,0
AA,428,7,0,1,0
AA,168,12,0,1,0
UA,446,5,0,1,0
UA,332,6,0,1,0
AA,237,17,0,1,0
AA,188,25,0,1,1
AA,237,28,0,1,0
UA,621,3,0,1,0
AA,261,47,0,1,0
UA,218,13,0,1,1
AA,383,12,0,1,0
AA,178,7,0,1,0
UA,422,29,0,1,0
AA,458,12,0,1,0
AA,1055,3,1,1,0
AA,428,20,0,1,0
AA,255,16,0,1,1
AA,658,4,0,1,0
AA,658,1,0,1,0
AA,658,6,0,1,0
AA,322,31,0,1,1
AA,268,24,0,1,1
AA,658,4,0,1,0
AA,458,8,0,1,0
UA,632,1,0,1,0
UA,457,1,0,1,0
AA,658,5,0,1,0
AA,240,135,0,1,1
AA,293,15,0,1,1
